證券代碼,年月日,收盤價(元),流通在外股數(千股),成交量(千股)
0050 元大台灣50,2017/04/26,74.55,"567,500","4,117"
0051 元大中型100,2017/04/26,27.66,"16,500",20
0052 富邦科技,2017/04/26,45.32,"7,000",5
0053 元大電子,2017/04/26,32.18,"9,488",3
0054 元大台商50,2017/04/26,23.58,"15,624",4
0055 元大MSCI金融,2017/04/26,14.82,"52,154",31
0056 元大高股息,2017/04/26,24.45,"359,534","1,736"
0057 富邦摩台,2017/04/26,44.65,"6,027",1
0058 富邦發達,2017/04/26,43.35,"4,696",1
0059 富邦金融,2017/04/26,35.11,"5,973",4
0061 元大寶滬深,2017/04/26,15.12,"727,116",960
006201 元大富櫃50,2017/04/26,11.59,"23,946",11
006203 元大MSCI台灣,2017/04/26,34.57,"7,718",2
006204 永豐臺灣加權,2017/04/26,48.81,"3,000",0
006205 富邦上証,2017/04/26,26.44,"623,518","1,645"
006206 元大上證50,2017/04/26,25.36,"195,278",946
006207 復華滬深300,2017/04/26,19.85,"256,892",951
006208 富邦台50,2017/04/26,43.9,"22,540",16
00625K 富邦上証+R,2017/04/26,6.05,754,54
00631L 元大台灣50正2,2017/04/26,28.35,"28,584","2,824"
00632R 元大台灣50反1,2017/04/26,14.99,"4,680,649","40,881"
00633L 富邦上証正2,2017/04/26,32.72,"999,958","13,409"
00634R 富邦上証反1,2017/04/26,8.91,"65,756",419
00635U 元大S&P 黃金,2017/04/26,19.97,"86,014","3,456"
00636 國泰中國A50,2017/04/26,15.95,"263,446",564
00637L 元大滬深300 正2,2017/04/26,12.33,"2,245,606","33,534"
00638R 元大滬深300 反1,2017/04/26,17.94,"6,948",29
00639 富邦深100,2017/04/26,9.33,"476,903","1,952"
00640L 富邦日本正2,2017/04/26,18.33,"27,419","4,221"
00641R 富邦日本反1,2017/04/26,17.4,"37,258","2,746"
00642U 元大S&P 石油,2017/04/26,17.57,"191,321","4,573"
00643 群益深証中小,2017/04/26,13.42,"313,550",706
00643K 群益深証中小+R,2017/04/26,3.03,650,0
00645 富邦日本,2017/04/26,19.72,"35,497",54
00646 元大S&P500,2017/04/26,21.36,"153,985",19
